distrito,dico,name,ambito,Anos,medvalsqm2,imi,classicalH,owcharges,charges400,newhouse,pp,netpop,netmig,pop15,popeduc15,popdens,pop,pop65,active,unemployed,touracc,classacc,area,chharea,newharea,touracarea,clasacarea,unemprate,newhousepmig,clashousphh,touaccpmig,housespercapita,newhnetpop,clasaccppopden,clasaccpop
PORTALEGRE,"1209", ,MunicÃ­pio,GaviÃ£o,0.000000000000000,0.300000000000000,1266.000000000000000,0.232227488151659,0.159863945578231,7.000000000000000,74.200000000000003,-69.000000000000000,6.000000000000000,3129.000000000000000,0.074464685202940,11.500000000000000,3394.000000000000000,0.420742486741308,1167.000000000000000,90.000000000000000,4.000000000000000,3628.000000000000000,295.129999999999995,4.290000000000000,0.024000000000000,0.014000000000000,12.292999999999999,0.077120822622108,1.166666666666667,2.865718799368088,0.666666666666667,1.068945197407189,-0.101449275362319,315.478260869565190,1.068945197407189
PORTALEGRE,"1208",Fronteira,MunicÃ­pio,Fronteira,0.000000000000000,0.300000000000000,920.000000000000000,0.328260869565217,0.165562913907285,1.000000000000000,76.599999999999994,-28.000000000000000,20.000000000000000,2560.000000000000000,0.114843750000000,11.500000000000000,2858.000000000000000,0.334849545136459,1163.000000000000000,73.000000000000000,4.000000000000000,2610.000000000000000,248.521999999999991,3.702000000000000,0.004000000000000,0.016000000000000,10.502000000000001,0.062768701633706,0.050000000000000,2.836956521739130,0.200000000000000,0.913226032190343,-0.035714285714286,226.956521739130437,0.913226032190343
AVEIRO,"0114",Oliveira do Bairro,MunicÃ­pio,Oliveira do Bairro,800.000000000000000,0.300000000000000,6804.000000000000000,0.359788359788360,0.234068627450980,44.000000000000000,79.500000000000000,278.000000000000000,389.000000000000000,19911.000000000000000,0.163176133795389,264.899999999999977,23132.000000000000000,0.235517897285146,11177.000000000000000,513.000000000000000,3.000000000000000,11633.000000000000000,87.323999999999998,77.917000000000002,0.504000000000000,0.034000000000000,133.217000000000013,0.045897825892458,0.113110539845758,1.709729570840682,0.007712082262211,0.502896420542971,0.158273381294964,43.914684786711973,0.502896420542971
AVEIRO,"0113", ,MunicÃ­pio,Oliveira de AzemÃ©is,822.000000000000000,0.300000000000000,18236.000000000000000,0.367624479052424,0.240304295942721,74.000000000000000,83.400000000000006,-236.000000000000000,12.000000000000000,58496.000000000000000,0.129615700218818,410.800000000000011,66175.000000000000000,0.230736683037401,32861.000000000000000,1993.000000000000000,4.000000000000000,30579.000000000000000,161.087999999999994,113.204999999999998,0.459000000000000,0.025000000000000,189.828000000000003,0.060649402026719,6.166666666666667,1.676847992980917,0.333333333333333,0.462092935398564,-0.313559322033898,74.437682570593964,0.462092935398564
AVEIRO,"0116", ,MunicÃ­pio,SÃ£o JoÃ£o da Madeira,900.000000000000000,0.350000000000000,5536.000000000000000,0.473988439306358,0.183307926829268,42.000000000000000,130.599999999999994,105.000000000000000,183.000000000000000,19463.000000000000000,0.190669475414890,2788.800000000000182,22143.000000000000000,0.221559860904123,10978.000000000000000,958.000000000000000,5.000000000000000,10659.000000000000000,7.940000000000000,697.229000000000042,5.290000000000000,0.630000000000000,1342.442999999999984,0.087265439970851,0.229508196721311,1.925397398843931,0.027322404371585,0.481371087928465,0.400000000000000,3.822074010327022,0.481371087928465
AVEIRO,"0115",Ovar,MunicÃ­pio,Ovar,1036.000000000000000,0.350000000000000,15160.000000000000000,0.369261213720317,0.255448374419436,52.000000000000000,89.299999999999997,139.000000000000000,246.000000000000000,48141.000000000000000,0.175318335722150,372.100000000000023,54953.000000000000000,0.214728950193802,26709.000000000000000,1902.000000000000000,18.000000000000000,28384.000000000000000,147.682999999999993,102.652000000000001,0.352000000000000,0.122000000000000,192.194999999999993,0.071211951027743,0.211382113821138,1.872295514511873,0.073170731707317,0.516514112059396,0.374100719424460,76.280569739317386,0.516514112059396
AVEIRO,"0110", ,MunicÃ­pio,Ãlhavo,1080.000000000000000,0.320000000000000,11445.000000000000000,0.363739624290083,0.287533029065578,109.000000000000000,89.000000000000000,267.000000000000000,358.000000000000000,33958.000000000000000,0.208080570116026,534.000000000000000,39235.000000000000000,0.215241493564420,19088.000000000000000,1211.000000000000000,11.000000000000000,22665.000000000000000,73.474000000000004,155.769000000000005,1.484000000000000,0.150000000000000,308.475999999999999,0.063443000838223,0.304469273743017,1.980340760157274,0.030726256983240,0.577672996049446,0.408239700374532,42.443820224719104,0.577672996049446
AVEIRO,"0112",Murtosa,MunicÃ­pio,Murtosa,975.000000000000000,0.320000000000000,3182.000000000000000,0.258328095537398,0.220194647201946,25.000000000000000,71.500000000000000,63.000000000000000,103.000000000000000,9073.000000000000000,0.126419045519674,143.300000000000011,10476.000000000000000,0.246563573883162,4581.000000000000000,232.000000000000000,4.000000000000000,7834.000000000000000,73.105000000000004,43.526000000000003,0.342000000000000,0.055000000000000,107.161000000000001,0.050643964199956,0.242718446601942,2.461973601508485,0.038834951456311,0.747804505536464,0.396825396825397,54.668527564549890,0.747804505536464
AVEIRO,"0111",Mealhada,MunicÃ­pio,Mealhada,748.000000000000000,0.300000000000000,6163.000000000000000,0.350640921629077,0.257288292457196,23.000000000000000,86.799999999999997,14.000000000000000,155.000000000000000,17127.000000000000000,0.173585566649150,174.800000000000011,19348.000000000000000,0.259871821376887,9148.000000000000000,440.000000000000000,15.000000000000000,10418.000000000000000,110.686000000000007,55.680000000000000,0.208000000000000,0.136000000000000,94.122000000000000,0.048097944905990,0.148387096774194,1.690410514359890,0.096774193548387,0.538453586934050,1.642857142857143,59.599542334096107,0.538453586934050
AVEIRO,"0107",Espinho,MunicÃ­pio,Espinho,1393.000000000000000,0.380000000000000,7261.000000000000000,0.248726070789147,0.328903654485050,74.000000000000000,104.400000000000006,-79.000000000000000,108.000000000000000,27743.000000000000000,0.198356342140360,1474.000000000000000,31043.000000000000000,0.282640208742712,13489.000000000000000,1358.000000000000000,8.000000000000000,16176.000000000000000,21.059999999999999,344.776999999999987,3.514000000000000,0.380000000000000,768.091000000000008,0.100674623767514,0.685185185185185,2.227792315108112,0.074074074074074,0.521083658151596,-0.936708860759494,10.974219810040706,0.521083658151596
